teste,tipo,status,falhas,universo,pct_universo
source_not_null_main_raca_cor_DESCRICAO,nulidade,pass,0,197312203,0.0000%
source_not_null_main_sexo_DESCRICAO,nulidade,pass,0,197312203,0.0000%
source_not_null_main_socioeconomico_CO_MUNICIPIO_6D,nulidade,pass,0,197312203,0.0000%
source_not_null_main_sexo_SEXO,nulidade,pass,0,197312203,0.0000%
source_not_null_main_socioeconomico_NU_ANO,nulidade,pass,0,197312203,0.0000%
source_not_null_main_socioeconomico_QT_NASCIDOS_VIVOS,nulidade,pass,0,197312203,0.0000%
source_not_null_main_socioeconomico_QT_OBITOS_INFANTIS,nulidade,pass,0,197312203,0.0000%
source_not_null_main_socioeconomico_QT_POPULACAO,nulidade,pass,0,197312203,0.0000%
source_not_null_main_tempo_data,nulidade,pass,0,197312203,0.0000%
source_not_null_main_tempo_ano,nulidade,pass,0,197312203,0.0000%
source_not_null_main_tempo_dia_semana,nulidade,pass,0,197312203,0.0000%
source_not_null_main_tempo_trimestre,nulidade,pass,0,197312203,0.0000%
source_not_null_main_tempo_mes,nulidade,pass,0,197312203,0.0000%
source_not_null_main_vincprev_DESCRICAO,nulidade,pass,0,197312203,0.0000%
source_not_null_main_vincprev_VINCPREV,nulidade,pass,0,197312203,0.0000%
source_relationships_main_hospital_MUNIC_MOV__CO_MUNICIPIO_6D__source_main_municipios_,relacionamento,fail,23,197312203,0.0000%
source_relationships_main_internacao_procedimento_PROC_REA__PROC_REA__source_main_procedimentos_,relacionamento,fail,17535,197312203,0.0089%
source_relationships_main_internacoes_CAR_INT__CAR_INT__source_main_car_int_,relacionamento,pass,0,197312203,0.0000%
source_relationships_main_internacoes_CNES__CNES__source_main_hospital_,relacionamento,pass,0,197312203,0.0000%
source_relationships_main_internacoes_CID_NOTIF__CID__source_main_cid_,relacionamento,fail,195204833,197312203,98.9320%
source_relationships_main_internacoes_COMPLEX__COMPLEX__source_main_complexidade_,relacionamento,fail,12,197312203,0.0000%
source_relationships_main_internacoes_CID_MORTE__CID__source_main_cid_,relacionamento,fail,194468317,197312203,98.5587%
source_relationships_main_internacoes_CBOR__CBOR__source_main_cbor_,relacionamento,fail,197291930,197312203,99.9897%
source_relationships_main_internacoes_CONTRACEP1__CONTRACEPTIVO__source_main_contraceptivos_,relacionamento,fail,195191469,197312203,98.9252%
source_relationships_main_internacoes_CONTRACEP2__CONTRACEPTIVO__source_main_contraceptivos_,relacionamento,fail,195927632,197312203,99.2983%
source_relationships_main_internacoes_DIAGSEC1__CID__source_main_cid_,relacionamento,fail,106344811,197312203,53.8967%
source_relationships_main_internacoes_DIAGSEC2__CID__source_main_cid_,relacionamento,fail,128377876,197312203,65.0633%
source_relationships_main_internacoes_DIAGSEC3__CID__source_main_cid_,relacionamento,fail,130043198,197312203,65.9073%
source_relationships_main_internacoes_DIAGSEC4__CID__source_main_cid_,relacionamento,fail,130670648,197312203,66.2253%
source_relationships_main_internacoes_DIAGSEC5__CID__source_main_cid_,relacionamento,fail,130941743,197312203,66.3627%
source_relationships_main_internacoes_DIAGSEC7__CID__source_main_cid_,relacionamento,fail,131090307,197312203,66.4380%
source_relationships_main_internacoes_DIAGSEC8__CID__source_main_cid_,relacionamento,fail,131113067,197312203,66.4495%
source_relationships_main_internacoes_DIAGSEC6__CID__source_main_cid_,relacionamento,fail,131051250,197312203,66.4182%
source_relationships_main_internacoes_DIAG_PRINC__CID__source_main_cid_,relacionamento,fail,1761,197312203,0.0009%
source_relationships_main_internacoes_DIAGSEC9__CID__source_main_cid_,relacionamento,fail,131115052,197312203,66.4506%
source_relationships_main_internacoes_ESPEC__ESPEC__source_main_especialidade_,relacionamento,fail,2818,197312203,0.0014%
source_relationships_main_internacoes_DIAG_SECUN__CID__source_main_cid_,relacionamento,fail,186853684,197312203,94.6995%
source_relationships_main_internacoes_INSTRU__INSTRU__source_main_instrucao_,relacionamento,fail,195191299,197312203,98.9251%
source_relationships_main_internacoes_ETNIA__ETNIA__source_main_etnia_,relacionamento,fail,167081073,197312203,84.6785%
source_relationships_main_internacoes_MARCA_UTI__MARCA_UTI__source_main_marca_uti_,relacionamento,pass,0,197312203,0.0000%
source_relationships_main_internacoes_MUNIC_RES__CO_MUNICIPIO_6D__source_main_municipios_,relacionamento,fail,1262450,197312203,0.6398%
source_relationships_main_internacoes_NACIONAL__NACIONAL__source_main_nacionalidade_,relacionamento,fail,16,197312203,0.0000%
source_relationships_main_internacoes_RACA_COR__RACA_COR__source_main_raca_cor_,relacionamento,fail,48509074,197312203,24.5849%
source_relationships_main_socioeconomico_CO_MUNICIPIO_6D__CO_MUNICIPIO_6D__source_main_municipios_,relacionamento,pass,0,197312203,0.0000%
source_unique_main_car_int_CAR_INT,unicidade,pass,0,197312203,0.0000%
source_unique_main_car_int_DESCRICAO,unicidade,pass,0,197312203,0.0000%
source_relationships_main_internacoes_SEXO__SEXO__source_main_sexo_,relacionamento,pass,0,197312203,0.0000%
source_unique_main_cbor_CBOR,unicidade,pass,0,2813,0.0000%
source_unique_main_cbor_DESCRICAO,unicidade,fail,73,2813,2.5951%
source_unique_main_cid_CID,unicidade,pass,0,14253,0.0000%
source_unique_main_cid_DESCRICAO,unicidade,fail,293,14253,2.0557%
source_unique_main_complexidade_COMPLEX,unicidade,pass,0,197312203,0.0000%
source_unique_main_complexidade_DESCRICAO,unicidade,pass,0,197312203,0.0000%
